ชื่อ,คำอ่านหลัก,คำอ่านอื่น,สถานะคำอ่าน,สถานะความหมาย,รากศัพท์,แหล่งอ้างอิง,หมายเหตุ
มณิวรา,มะ-นิ-วะ-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
มณิสร,มะ-นิ-สอน,,pending,pending,,,รอตรวจ: missing-official-evidence
มณิสรา,มะ-นิด-สะ-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
มณิอร,มะ-นิ-ออน,,pending,pending,,,รอตรวจ: missing-official-evidence
มโณ,มะ-โน,,pending,pending,,,รอตรวจ: missing-official-evidence
มทนะ,มะ-ทะ-นะ,,pending,pending,,,รอตรวจ: missing-official-evidence
มทนา,มะ-ทะ-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
มทิรา,มะ-ทิ-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
มธุมนัส,มุ-ทุ-มะ-นัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มธุมิศร์,มะ-ทุ-มิด,,pending,pending,,,รอตรวจ: missing-official-evidence
มธุรณัท,มะ-ทุ-ระ-นัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มธุรวร,มะ-ทุ-ระ-วะ,,pending,pending,,,รอตรวจ: missing-official-evidence
มธุรวันต์,มะ-ทุ-ระ-วัน,,pending,pending,,,รอตรวจ: missing-official-evidence
มธุรส,มะ-ทุ-รด,,pending,pending,,,รอตรวจ: missing-official-evidence
มธุรา,มะ-ทุ-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
มธุริน,มะ-ทุ-ริน,,pending,pending,,,รอตรวจ: missing-official-evidence
มธุริมา,มะ-ทุ-ริ-มา,,pending,pending,,,รอตรวจ: missing-official-evidence
มนต์ไชย,มน-ไช,,pending,pending,,,รอตรวจ: missing-official-evidence
มนต์ณัฏ,มน-นัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มนต์ณัฐ,มน-นัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มนต์ธนัท,มน-ทะ-นัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มนต์ธร,มน-ทอน,,pending,pending,,,รอตรวจ: missing-official-evidence
มนต์ธัช,มน-ทัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มนต์สิทธิ์,มน-สิด,,pending,pending,,,รอตรวจ: missing-official-evidence
มนต์สิริ,มน-สิ-หริ,,pending,pending,,,รอตรวจ: missing-official-evidence
มนทอง,มน-ทอง,,pending,pending,,,รอตรวจ: missing-official-evidence
มนทิรา,มน-ทิ-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
มนธกัญ,มน-ทะ-กัน,,pending,pending,,,รอตรวจ: missing-official-evidence
มนนัทธ์,มน-นัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มนนัทธ์ธร,มน-นัด-ทอน,,pending,pending,,,รอตรวจ: missing-official-evidence
มนภร,มะ-นะ-พอน,,pending,pending,,,รอตรวจ: missing-official-evidence
มนภัทร,มะ-นะ-พัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มนวรรธ,มะ-นะ-วัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มนวรรธน,มะ-นะ-วัด-ทะ-นะ,,pending,pending,,,รอตรวจ: missing-official-evidence
มนวรรธน์,มะ-นะ-วัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มนัส,มะ-นัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มนาหวาน,มะ-นา-หวาน,,pending,pending,,,รอตรวจ: missing-official-evidence
มโน,มะ-โน,,pending,pending,,,รอตรวจ: missing-official-evidence
มโนณัท,มะ-โน-นัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มโนธรรม,มะ-โน-ทำ,,pending,pending,,,รอตรวจ: missing-official-evidence
มโนภัทร,มะ-โน-พัด-ทรอ,,pending,pending,,,รอตรวจ: missing-official-evidence
มโนรักษ์,มะ-โน-รัก,,pending,pending,,,รอตรวจ: missing-official-evidence
มโนวัศ,มะ-โน-วัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มรก,มอ-ระ-กด,,pending,pending,,,รอตรวจ: missing-official-evidence
มรรษกร,มัด-สะ-กอน,,pending,pending,,,รอตรวจ: missing-official-evidence
มฤคินทร์,มะ-รึ-คิน,,pending,pending,,,รอตรวจ: missing-official-evidence
มฤธ์,มะ-ริ,,pending,pending,,,รอตรวจ: missing-official-evidence
มลทิวา,มน-ทิ-วา,,pending,pending,,,รอตรวจ: missing-official-evidence
มลธน,มน-ทน,,pending,pending,,,รอตรวจ: missing-official-evidence
มลธิรา,มน-ทิ-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
มลิน,มะ-ลิน,,pending,pending,,,รอตรวจ: missing-official-evidence
มหวรรณ,มะ-หะ-วัน,,pending,pending,,,รอตรวจ: missing-official-evidence
มหิดล,มะ-หิ-ดน,,pending,pending,,,รอตรวจ: missing-official-evidence
มหิทธิกร,มะ-หิด-ทิ-กอน,,pending,pending,,,รอตรวจ: missing-official-evidence
มหิธร,มะ-หิ-ทอน,,pending,pending,,,รอตรวจ: missing-official-evidence
มหิธรณ์,มะ-หิ-ทอน,,pending,pending,,,รอตรวจ: missing-official-evidence
มะนาวหวาน,มะ-นา-วะ-หวาน,,pending,pending,,,รอตรวจ: missing-official-evidence
มะนิก,มะ-นิก,,pending,pending,,,รอตรวจ: missing-official-evidence
มะลิ,มะ-ลิ,,pending,pending,,,รอตรวจ: missing-official-evidence
มะลิแต,มะ-ลิ-แต,,pending,pending,,,รอตรวจ: missing-official-evidence
มะลิทอง,มะ-ลิ-ทอง,,pending,pending,,,รอตรวจ: missing-official-evidence
มะลิใหม่,มะ-ลิ-ไหม่,,pending,pending,,,รอตรวจ: missing-official-evidence
มะหมัด,มะ-หะ-มัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มะหะจิ,มะ-หะ-จิ,,pending,pending,,,รอตรวจ: missing-official-evidence
มัญชรี,มัน-ชะ-รี,,pending,pending,,,รอตรวจ: missing-official-evidence
มัญชิษฐา,มัน-ชิด-ถา,,pending,pending,,,รอตรวจ: missing-official-evidence
มัณฑน์,มัน,,pending,pending,,,รอตรวจ: missing-official-evidence
มัณฑนภัทร,มัน-ทะ-นะ-พัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มัณฑนา,มัน-ทะ-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
มัธนา,มัด-ทะ-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
มัธวา,มัด-ทะ-วา,,pending,pending,,,รอตรวจ: missing-official-evidence
มัธวามินทรา,มัด-ทะ-วา-มน-ริน,,pending,pending,,,รอตรวจ: missing-official-evidence
มันทนา,มัน-ทะ-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
มานะ,มา-นะ,,pending,pending,,,รอตรวจ: missing-official-evidence
มามะ,มา-มะ,,pending,pending,,,รอตรวจ: missing-official-evidence
มามะแตหะ,มา-มะ-แตะ-หะ,,pending,pending,,,รอตรวจ: missing-official-evidence
มามิ,มา-มิ,,pending,pending,,,รอตรวจ: missing-official-evidence
มาร์ค,มาก,,pending,pending,,,รอตรวจ: missing-official-evidence
มาริษา,มา-ริ-สา,,pending,pending,,,รอตรวจ: missing-official-evidence
มาวิน,มา-วิน,,pending,pending,,,รอตรวจ: missing-official-evidence
มาหะมะ,มา-หะ-มะ,,pending,pending,,,รอตรวจ: missing-official-evidence
มิน,มิน,,pending,pending,,,รอตรวจ: missing-official-evidence
มินาริณทร์,มิ-นา-ริน,,pending,pending,,,รอตรวจ: missing-official-evidence
มินารินทร์,มิ-นา-ริน,,pending,pending,,,รอตรวจ: missing-official-evidence
มิรันญา,มิ-รัน-ยา,,pending,pending,,,รอตรวจ: missing-official-evidence
มิรา,มิ-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
มิราน,มิ-ราน,,pending,pending,,,รอตรวจ: missing-official-evidence
มิราริณทร์,มิ-รา-ริน,,pending,pending,,,รอตรวจ: missing-official-evidence
มิรารินทร์,มิ-รา-ริน,,pending,pending,,,รอตรวจ: missing-official-evidence
มิรารีย์,มิ-รา-รี,,pending,pending,,,รอตรวจ: missing-official-evidence
มิราลักษณ์,มิ-ลา-ลัก,,pending,pending,,,รอตรวจ: missing-official-evidence
มิราลิน,มิ-รา-ลิน,,pending,pending,,,รอตรวจ: missing-official-evidence
มิราวร,มิ-รา-วอน,,pending,pending,,,รอตรวจ: missing-official-evidence
มิริน,มิ-ริน,,pending,pending,,,รอตรวจ: missing-official-evidence
มิเรน,มิ-เรน,,pending,pending,,,รอตรวจ: missing-official-evidence
มิ้ว,มิ้ว,,pending,pending,,,รอตรวจ: missing-official-evidence
มิ้วลักษณ์,มิ้ว-ลัก,,pending,pending,,,รอตรวจ: missing-official-evidence
มิ้ววร,มิ้ว-วอน,,pending,pending,,,รอตรวจ: missing-official-evidence
มุจรินทร์,มุ-จะ-ริน,,pending,pending,,,รอตรวจ: missing-official-evidence
มุนินทร์,มุ-นิน,,pending,pending,,,รอตรวจ: missing-official-evidence
มุนินทร์ธร,มุ-นิน-ทอน,,pending,pending,,,รอตรวจ: missing-official-evidence
มุนินทร์ธรณ์,มุ-นิน-ทอน,,pending,pending,,,รอตรวจ: missing-official-evidence
มุนินทร์วัชร,มุ-นิน-วัด,,pending,pending,,,รอตรวจ: missing-official-evidence
มุนินทรา,มุ-นิน-ทรา,,pending,pending,,,รอตรวจ: missing-official-evidence
มุรธา,มุ-ระ-ทา,,pending,pending,,,รอตรวจ: missing-official-evidence
มูลนาม,มูน-นาม,,pending,pending,,,รอตรวจ: missing-official-evidence
มูและ,มู-และ,,pending,pending,,,รอตรวจ: missing-official-evidence
เมธาวัชรินทร์,เม-ทา-วัน-นะ-ริน,,pending,pending,,,รอตรวจ: missing-official-evidence
โมรา,โม-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
ไมน,ไม,,pending,pending,,,รอตรวจ: missing-official-evidence
ไมนณ,ไม-นะ,,pending,pending,,,รอตรวจ: missing-official-evidence
ไมล์,ไม,,pending,pending,,,รอตรวจ: missing-official-evidence
ยงธนัท,ยง-ทะ-นัด,,pending,pending,,,รอตรวจ: missing-official-evidence
ยงธนา,ยง-ทะ-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
ยงยศ,ยง-ยด,,pending,pending,,,รอตรวจ: missing-official-evidence
ยงรณัฐ,ยง-ระ-นัด,,pending,pending,,,รอตรวจ: missing-official-evidence
ยชญ์,ยด,,pending,pending,,,รอตรวจ: missing-official-evidence
ยชญ์ชวัล,ยด-ชะ-วัน,,pending,pending,,,รอตรวจ: missing-official-evidence
ยชญ์ชวินทร์,ยด-ชะ-วิน,,pending,pending,,,รอตรวจ: missing-official-evidence
ยชญ์ธนญ,ยด-ทะ-นน,,pending,pending,,,รอตรวจ: missing-official-evidence
ยชญ์ศิริ,ยด-ยะ-สิ-หริ,,pending,pending,,,รอตรวจ: missing-official-evidence
ยชญ์อนันต์,ยด-อะ-นัน,,pending,pending,,,รอตรวจ: missing-official-evidence
ยศไกร,ยด-สะ-ไกร,,pending,pending,,,รอตรวจ: missing-official-evidence
ยศธน,ยด-สะ-ทน,,pending,pending,,,รอตรวจ: missing-official-evidence
ยศธนะ,ยด-ทะ-นะ,,pending,pending,,,รอตรวจ: missing-official-evidence
ยศธร,ยด-สะ-ทอน,,pending,pending,,,รอตรวจ: missing-official-evidence
ยศยง,ยด-สะ-ยง,,pending,pending,,,รอตรวจ: missing-official-evidence
ยศยชญ์,ยด-สะ-ยด,,pending,pending,,,รอตรวจ: missing-official-evidence
ยศรินทร์,สด-สะ-นิด,,pending,pending,,,รอตรวจ: missing-official-evidence
ยสินทร,ยะ-สิน-ทอน,,pending,pending,,,รอตรวจ: missing-official-evidence
ยี,ยี,,pending,pending,,,รอตรวจ: missing-official-evidence
รขิน,ระ-ขิน,,pending,pending,,,รอตรวจ: missing-official-evidence
รงค์,รง,,pending,pending,,,รอตรวจ: missing-official-evidence
รจณา,รด-จะ-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
รจนา,รด-จะ-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
รชฏ,ระ-ชะ-ตะ,,pending,pending,,,รอตรวจ: missing-official-evidence
รชต,ระ-ชะ-ตะ,,pending,pending,,,รอตรวจ: missing-official-evidence
รชิน,ระ-ชิน,,pending,pending,,,รอตรวจ: missing-official-evidence
รฐา,ระ-ถา,,pending,pending,,,รอตรวจ: missing-official-evidence
รณกร,รน-นะ-กอน,,pending,pending,,,รอตรวจ: missing-official-evidence
รณนภ,รน-นะ-พน,,pending,pending,,,รอตรวจ: missing-official-evidence
รณรงค์,รน-นะ-รง,,pending,pending,,,รอตรวจ: missing-official-evidence
รนน,รน-นน,,pending,pending,,,รอตรวจ: missing-official-evidence
รบ,รบ,,pending,pending,,,รอตรวจ: missing-official-evidence
รปิน,ระ-ปิน,,pending,pending,,,รอตรวจ: missing-official-evidence
รมณ,ระ-มน,,pending,pending,,,รอตรวจ: missing-official-evidence
รมน,ระ-มน,,pending,pending,,,รอตรวจ: missing-official-evidence
รมิญา,ระ-มิ-ยา,,pending,pending,,,รอตรวจ: missing-official-evidence
รวรัญ,รวน-อัน,,pending,pending,,,รอตรวจ: missing-official-evidence
รวิชญ์,ระ-วิด,,pending,pending,,,รอตรวจ: missing-official-evidence
รวิชญา,ระ-วิด-ชะ-ยา,,pending,pending,,,รอตรวจ: missing-official-evidence
รวิรา,ระ-วิ-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
รวิวร,ระ-วิ-วอน,,pending,pending,,,รอตรวจ: missing-official-evidence
รวิวรรธน์,ระ-วิ-วัด,,pending,pending,,,รอตรวจ: missing-official-evidence
รวิวาน,ระ-วิ-วาน,,pending,pending,,,รอตรวจ: missing-official-evidence
รวิสรา,ระ-วิ-สะ-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
รหณ,ระ-หะ-นะ,,pending,pending,,,รอตรวจ: missing-official-evidence
รหาญ,ระ-หาน,,pending,pending,,,รอตรวจ: missing-official-evidence
รอดไฝ,รอด-ไฝ,,pending,pending,,,รอตรวจ: missing-official-evidence
รอดริน,รอด-ริน,,pending,pending,,,รอตรวจ: missing-official-evidence
รอบคอบ,รอบ-คอบ,,pending,pending,,,รอตรวจ: missing-official-evidence
รอฮัน,รอ-ฮัน,,pending,pending,,,รอตรวจ: missing-official-evidence
รอฮานา,รอ-ฮา-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
ระวิภัทร,ระ-วิ-พัด,,pending,pending,,,รอตรวจ: missing-official-evidence
ระวิวรรณ์,ระ-วิ-วัน,,pending,pending,,,รอตรวจ: missing-official-evidence
รัก,รัก,,pending,pending,,,รอตรวจ: missing-official-evidence
รักใคร่,รัก-ไคร่,,pending,pending,,,รอตรวจ: missing-official-evidence
รักษ์ธนนวินต์,รัก-ทะ-นะ-วะ-นิน,,pending,pending,,,รอตรวจ: missing-official-evidence
รักษา,รัก-สา-สะ,,pending,pending,,,รอตรวจ: missing-official-evidence
รักษาธิกรณ์,รัก-สา-ทิ-กอน,,pending,pending,,,รอตรวจ: missing-official-evidence
รักษาวงษ์,รัก-สา-วง,,pending,pending,,,รอตรวจ: missing-official-evidence
รักษิณา,รัก-สิ-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
รัชฏะ,รัด-ชะ-ตะ,,pending,pending,,,รอตรวจ: missing-official-evidence
รัชฏาวรรณ,รัด-ชะ-ดา-นัน,,pending,pending,,,รอตรวจ: missing-official-evidence
รัชธิวรรษ์,รัด-ชะ-ทิ-วัน,,pending,pending,,,รอตรวจ: missing-official-evidence
รัชโนวรรณ,รัด-ชะ-โน-วัน,,pending,pending,,,รอตรวจ: missing-official-evidence
รัชวงษ์,รัด-ชะ-วง,,pending,pending,,,รอตรวจ: missing-official-evidence
รัชวิชญ์,รัด-ชะ-วิด,,pending,pending,,,รอตรวจ: missing-official-evidence
รัชอินทร์,รัด-ชะ-อิน,,pending,pending,,,รอตรวจ: missing-official-evidence
รัญญ์สิรินทร์,รัน-สิ-ริน,,pending,pending,,,รอตรวจ: missing-official-evidence
รัญนิลิน,รัน-นิ-ลิน,,pending,pending,,,รอตรวจ: missing-official-evidence
รัญลภัส,รัน-ละ-พัด,,pending,pending,,,รอตรวจ: missing-official-evidence
รัฐ,รัด,,pending,pending,,,รอตรวจ: missing-official-evidence
รัฐกร,รัด-กอน,,pending,pending,,,รอตรวจ: missing-official-evidence
รัฐนันท์,รัด-ถะ-นัน,,pending,pending,,,รอตรวจ: missing-official-evidence
รัฐผไท,รัด-ผะ-ไท,,pending,pending,,,รอตรวจ: missing-official-evidence
รัฐภัทร์,รัด-พัด,,pending,pending,,,รอตรวจ: missing-official-evidence
รัฐราษฎร์,รัด-ถะ-ราด,,pending,pending,,,รอตรวจ: missing-official-evidence
รัฐรุจน์,รัด-ถะ-รุด,,pending,pending,,,รอตรวจ: missing-official-evidence
รัฐโรจน์,รัด-ถะ-โรด,,pending,pending,,,รอตรวจ: missing-official-evidence
ราญรอน,ราน-รอน,,pending,pending,,,รอตรวจ: missing-official-evidence
รามนัฏ,ราม-นัด,,pending,pending,,,รอตรวจ: missing-official-evidence
รามิล,รา-มิน,,pending,pending,,,รอตรวจ: missing-official-evidence
รามิลา,รา-มิ-ลา,,pending,pending,,,รอตรวจ: missing-official-evidence
ราวินิช,รา-วิ-นิด,,pending,pending,,,รอตรวจ: missing-official-evidence
ริซิน,ริ-ซิน,,pending,pending,,,รอตรวจ: missing-official-evidence
ริญญะภัสร์,ริน-ยะ-พัด,,pending,pending,,,รอตรวจ: missing-official-evidence
ริฏฐิ์,ริด,,pending,pending,,,รอตรวจ: missing-official-evidence
ริณา,ริ-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
ริน,ริน,,pending,pending,,,รอตรวจ: missing-official-evidence
รินทระ,ริน-ระ,,pending,pending,,,รอตรวจ: missing-official-evidence
รินทิรา,ริน-ทิ-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
รินไท,ริน-ไท,,pending,pending,,,รอตรวจ: missing-official-evidence
รินนา,ริน-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
รินลภัศ,ริน-ละ-พัด,,pending,pending,,,รอตรวจ: missing-official-evidence
รินลภัส,ริน-ละ-พัด,,pending,pending,,,รอตรวจ: missing-official-evidence
รินลภัสร์,ริน-ละ-พัด,,pending,pending,,,รอตรวจ: missing-official-evidence
รินลักษณ์,ริน-ลัก,,pending,pending,,,รอตรวจ: missing-official-evidence
รินวร,ริน-วอน,,pending,pending,,,รอตรวจ: missing-official-evidence
ริเลน,ริ-เลน,,pending,pending,,,รอตรวจ: missing-official-evidence
ริวัน,ริ-วัน,,pending,pending,,,รอตรวจ: missing-official-evidence
ริออน,ริ-ออน,,pending,pending,,,รอตรวจ: missing-official-evidence
ริอา,ริ-อา,,pending,pending,,,รอตรวจ: missing-official-evidence
รุจกร,รุด-จะ-กอน,,pending,pending,,,รอตรวจ: missing-official-evidence
รุจธร,รุด-จะ-ทอน,,pending,pending,,,รอตรวจ: missing-official-evidence
รุจรวิศร์,รุด-จะ-ระ-วิด,,pending,pending,,,รอตรวจ: missing-official-evidence
รุจิชญานันท์,รุ-จิ-ชะ-ยา-นัน,,pending,pending,,,รอตรวจ: missing-official-evidence
รุจิรา,รุ-จิ-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
รุณใจ,รุน-ใจ,,pending,pending,,,รอตรวจ: missing-official-evidence
รุฮาญา,รุ-ฮา-ยา,,pending,pending,,,รอตรวจ: missing-official-evidence
เรไร,เร-ไร,,pending,pending,,,รอตรวจ: missing-official-evidence
โรจกร,ร-จ-ก,,pending,pending,,,รอตรวจ: missing-official-evidence
โรจนดิษฐ์,โรด-จะ-นะ-ดิด,,pending,pending,,,รอตรวจ: missing-official-evidence
โรจน์ธนารันต์,โรด-ทะ-นา-รัน,,pending,pending,,,รอตรวจ: missing-official-evidence
โรจนะ,โรด-จะ-นะ,,pending,pending,,,รอตรวจ: missing-official-evidence
ไรซัส,ไร-ซัด,,pending,pending,,,รอตรวจ: missing-official-evidence
ไรซิล,ไร-ซิน,,pending,pending,,,รอตรวจ: missing-official-evidence
ไรลอน,ไร-ลอน,,pending,pending,,,รอตรวจ: missing-official-evidence
ไรเวน,ไร-เวน,,pending,pending,,,รอตรวจ: missing-official-evidence
ไรออน,ไร-ออน,,pending,pending,,,รอตรวจ: missing-official-evidence
ไรอัน,ไร-อัน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลกนก,ลก-นก,,pending,pending,,,รอตรวจ: missing-official-evidence
ลกมล,ลก-มน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลจอมทอง,จะ-จม-ทอง,,pending,pending,,,รอตรวจ: missing-official-evidence
ลฎาณัช,ละ-ดา-นัด,,pending,pending,,,รอตรวจ: missing-official-evidence
ลดวง,ลด-วง,,pending,pending,,,รอตรวจ: missing-official-evidence
ลทอง,ละ-ทอง,,pending,pending,,,รอตรวจ: missing-official-evidence
ลทองคำ,ละ-ทอง-คำ,,pending,pending,,,รอตรวจ: missing-official-evidence
ลนิ,ละ-นิ,,pending,pending,,,รอตรวจ: missing-official-evidence
ลภัสญาลักษณ์,ละ-พัด-ยา-ลัก,,pending,pending,,,รอตรวจ: missing-official-evidence
ลภัสญาวรัญญา,ละ-พัด-ยา-วะ-รัน-ยา,,pending,pending,,,รอตรวจ: missing-official-evidence
ลลิล,ละ-ลิน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลลิษา,ละ-ลิ-สา,,pending,pending,,,รอตรวจ: missing-official-evidence
ล้วน,ล้วน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลหิ,ละ-หิ,,pending,pending,,,รอตรวจ: missing-official-evidence
ล่อง,ล่อง,,pending,pending,,,รอตรวจ: missing-official-evidence
ล้อม,ล้อม,,pending,pending,,,รอตรวจ: missing-official-evidence
ลอออร,ละ-ออ-ออน,,pending,pending,,,รอตรวจ: missing-official-evidence
ละไม,ละ-ไม,,pending,pending,,,รอตรวจ: missing-official-evidence
ละออ,ละ-ออ,,pending,pending,,,รอตรวจ: missing-official-evidence
ละออง,ละ-ออง,,pending,pending,,,รอตรวจ: missing-official-evidence
ละอองอ่อน,ละ-ออง-อ่อน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลักษมัณ,ลัก-สะ-มัน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลักษวุธ,ลัก-สะ-วุด,,pending,pending,,,รอตรวจ: missing-official-evidence
ลัญฉกร,ลัน-ฉะ-กอน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลัลนลิณ,ลัน-ละ-นะ-ลิน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลานนา,ลาน-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
ลานอก,ลา-นอก,,pending,pending,,,รอตรวจ: missing-official-evidence
ลาวัณณ์สิริ,ลา-วัน-สิ-หริ,,pending,pending,,,รอตรวจ: missing-official-evidence
ลาวา,ลา-วา,,pending,pending,,,รอตรวจ: missing-official-evidence
ลำไพ,ลำ-ไพ,,pending,pending,,,รอตรวจ: missing-official-evidence
ลิกค์,ลิก,,pending,pending,,,รอตรวจ: missing-official-evidence
ลิน,ลิน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลินทร์ฬุฬา,ลิน-รุ-ลา,,pending,pending,,,รอตรวจ: missing-official-evidence
ลินน์นฐา,ลิน-นะ-ถา,,pending,pending,,,รอตรวจ: missing-official-evidence
ลินนา,ลิน-นา,,pending,pending,,,รอตรวจ: missing-official-evidence
ลินลักษณ์,ลิน-ลัก,,pending,pending,,,รอตรวจ: missing-official-evidence
ลินวร,ลิน-นะ-วอน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลินิน,ลิ-นิน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลิบลับ,ลิบ-ลับ,,pending,pending,,,รอตรวจ: missing-official-evidence
ลิลณัฎ,ลิน-ลัด,,pending,pending,,,รอตรวจ: missing-official-evidence
ลิลัญภัชต์,ลิ-ลัน-พัด,,pending,pending,,,รอตรวจ: missing-official-evidence
ลุนลา,ลุน-ลา,,pending,pending,,,รอตรวจ: missing-official-evidence
ลูคัส,ลู-คัด,,pending,pending,,,รอตรวจ: missing-official-evidence
ลูรา,ลู-รา,,pending,pending,,,รอตรวจ: missing-official-evidence
ลูริส,ลู-ริด,,pending,pending,,,รอตรวจ: missing-official-evidence
ลูเรน,ลู-เรน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลูวิน,ลู-วิน,,pending,pending,,,รอตรวจ: missing-official-evidence
ลูเวอร์,ลู-เวอ,,pending,pending,,,รอตรวจ: missing-official-evidence
เลโน่,เล-โน่,,pending,pending,,,รอตรวจ: missing-official-evidence
เลมินญาน์,เล-มิน-ยา,,pending,pending,,,รอตรวจ: missing-official-evidence
เลาะนะ,เลาะ-นะ,,pending,pending,,,รอตรวจ: missing-official-evidence
เลาะหามะ,เลาะ-หะ-มะ,,pending,pending,,,รอตรวจ: missing-official-evidence
โลวะลุน,โล-วะ-ลุน,,pending,pending,,,รอตรวจ: missing-official-evidence
โลหะวณิชย์,โล-หะ-วะ-นิด,,pending,pending,,,รอตรวจ: missing-official-evidence
ไลลา,ไล-ลา,,pending,pending,,,รอตรวจ: missing-official-evidence
ไลออน,ไล-ออน,,pending,pending,,,รอตรวจ: missing-official-evidence
วงค์มลฑล,วง-มน-ทน,,pending,pending,,,รอตรวจ: missing-official-evidence
วงค์ษารัฐ,วง-สา-รัด,,pending,pending,,,รอตรวจ: missing-official-evidence
วงค์หนองแล้ง,วง-หนอง-แล้ง,,pending,pending,,,รอตรวจ: missing-official-evidence
วงษ์ไกร,วง-ไกร,,pending,pending,,,รอตรวจ: missing-official-evidence
วงษ์คงคำ,วง-คง-คำ,,pending,pending,,,รอตรวจ: missing-official-evidence
วงษ์เจริญ,วง-จะ-เริน,,pending,pending,,,รอตรวจ: missing-official-evidence
วงษ์วานิชขจร,วง-วา-นิด-จะ-ขอน,,pending,pending,,,รอตรวจ: missing-official-evidence
วงษ์อุระ,วง-อุ-ระ,,pending,pending,,,รอตรวจ: missing-official-evidence
วงษาไชย,วง-สา-ไช,,pending,pending,,,รอตรวจ: missing-official-evidence
วชิร,วะ-ชิ-ระ,,pending,pending,,,รอตรวจ: missing-official-evidence
วชิรญาณ์,วะ-ชิ-ระ-ยา,,pending,pending,,,รอตรวจ: missing-official-evidence
วชิรธร,วะ-ชิ-ระ-ทอน,,pending,pending,,,รอตรวจ: missing-official-evidence
วชิรภณ,วะ-ชิ-ระ-พน,,pending,pending,,,รอตรวจ: missing-official-evidence
วชิรวิชญ์,วะ-ชิ-ระ-วิด,,pending,pending,,,รอตรวจ: missing-official-evidence
วชิราวุธ,วะ-ชิ-รา-วุด,,pending,pending,,,รอตรวจ: missing-official-evidence
วฐา,วะ-ถา,,pending,pending,,,รอตรวจ: missing-official-evidence
วณัฎนันท์,วะ-นัด-ตะ-นัน,,pending,pending,,,รอตรวจ: missing-official-evidence
วธัญญา,วะ-ทัน-ยา,,pending,pending,,,รอตรวจ: missing-official-evidence
วนิ,วะ-นิ,,pending,pending,,,รอตรวจ: missing-official-evidence
วมิ,วะ-มิ,,pending,pending,,,รอตรวจ: missing-official-evidence
วรกร,วอ-ระ-กอน,,pending,pending,,,รอตรวจ: missing-official-evidence
วรกัญญา,วอ-ระ-กัน-ยา,,pending,pending,,,รอตรวจ: missing-official-evidence
วรจันทร์,วอ-ระ-จัน,,pending,pending,,,รอตรวจ: missing-official-evidence
วรจิร,วอ-ระ-จิน,,pending,pending,,,รอตรวจ: missing-official-evidence
วรชญา,วะ-ระ-ชะ-ยา,,pending,pending,,,รอตรวจ: missing-official-evidence
